BRI B1114-0822 	4.495 	3.19 	4.440 	4.2576 	20.3 	22, 1
Q 1151+0651 	2.76 	1.65 	2.76 	1.7737 	21.3 	16, 6
Q 1159+0132 	3.27 	1.988 	3.226 	2.6846 	21.1 	21, 8
PSS J1159+1337 	4.073 	2.563 	4.022 	3.72 	20.3 	25
BR B1202-0725 	4.694 	3.16 	4.637 	4.383 	20.49 	22, 23
Q 1205+0918 	2.08 	1.634 	2.046 	1.673 	20.6 	4
Q 1209+0919 	3.30 	2.175 	3.254 	2.5835 	21.4 	21, 8
Q 1210+1731 	2.54 	1.634 	2.502 	1.8920 	20.6 	4, 10
Q 1215+3322 	2.61 	1.64 	2.60 	1.9989 	21.0 	16, 7
Q 1223+1753 	2.92 	1.945 	2.879 	2.4658 	21.5 	4, 11
Q 1232+0815 	2.57 	1.789 	2.534 	2.3376 	20.9 	4, 10
Q 1240+1516 	2.28 	1.634 	2.247 	1.738 	20.7 	4
Q 1244+3443 	2.48 	1.64 	2.50 	1.8593 	20.5 	16, 7
Q 1246-0217 	2.11 	1.634 	2.075 	1.779 	21.2 	4
PSS J1253-0228 	4.007 	2.498 	3.957 	2.78 	21.4 	25
Q 1308+0105 	2.80 	1.634 	2.763 	1.762 	20.6 	4
GB 1320+3927 	2.98 	1.968 	2.940 	2.11 	20.4 	2
Q 1337+1121 	2.92 	1.86 	2.92 	2.7957 	20.9 	16, 6
BRI B1346-0322 	3.992 	2.65 	3.942 	3.7343 	20.72 	22, 1
Q 1347+1116 	2.70 	1.92 	2.71 	2.4709 	20.3 	16, 6
Q 1409+0930 	2.86 	1.979 	2.800 	2.4561 	20.5 	21, 8
PSS J1443+2724 	4.407 	2.950 	4.353 	4.216 	20.8 	1
Q 1451+1223 	3.26 	2.158 	3.207 	2.478 	20.4 	16, 21
BR BI1500+0824 	3.943 	2.39 	3.894 	2.7968 	20.8 	22, 1
GB 1610+2806 	3.54 	2.021 	3.498 	2.59 	20.6 	2
MG 1614+0506 	3.21 	1.984 	3.168 	2.52 	20.4 	2
PSS J1618+4125 	4.213 	2.820 	4.161 	3.92 	20.5 	25
RX J1759+6638 	4.320 	2.804 	4.267 	3.40 	20.4 	25
GB 1759+7539 	3.05 	1.955 	3.010 	2.624 	20.77 	2
PSS J1802+5616 	4.158 	2.891 	4.106 	3.76 	20.4 	25
PC 2047+0123 	3.799 	2.620 	3.751 	2.7299 	20.4 	1
PSS J2122-0014 	4.114 	2.350 	4.063 	3.20 	20.3 	25
Q 2132-4321 	2.42 	1.595 	2.386 	1.916 	20.7 	4
Q 2138-4427 	3.17 	2.107 	3.128 	2.851 	20.9 	4, 12
PSS J2154+0335 	4.363 	2.979 	4.309 	3.61 	20.4 	25
PSS J2155+1358 	4.256 	2.940 	4.203 	3.32 	21.1 	25
Q 2206-1958 	2.56 	1.85 	2.58 	1.9205 	20.5 	16, 14
Q 2206-1958 	2.56 	1.85 	2.58 	2.0763 	20.7 	16, 17
Q 2223-0512 	1.4040 	0.4159 	0.6310 	0.4925 	20.9 	3
Q 2223-0512 	1.4040 	0.9259 	1.3800 	  	3
Q 2230+0232 	2.15 	1.634 	2.119 	1.8642 	20.8 	4, 10, 11
Q 2231-0015 	3.015 	1.749 	2.980 	2.0657 	20.6 	4, 9
BR B2237-0607 	4.558 	2.96 	4.502 	4.0691 	20.5 	22, 1
Q 2239-3836 	3.55 	2.389 	3.508 	3.2810 	20.8 	21, 9
PSS J2241+1352 	4.441 	3.027 	4.387 	4.28 	20.7 	25
Q 2248+0127 	2.56 	1.634 	2.524 	1.9080 	20.6 	4, 10
BR J2317-4345 	3.943 	2.448 	3.894 	3.49 	20.9 	25
PSS J2344+0342 	4.239 	2.696 	4.187 	3.21 	20.9 	25
Q 2348-0108 	3.01 	2.044 	2.965 	2.4272 	20.5 	16, 6
Q 2348-0108 	3.01 	2.044 	2.965 	2.6161 	21.3 	21, 6
Q 2351+0217 	2.03 	1.634 	2.000 	1.766 	20.9 	4, 10
Q 2359-0216 	2.31 	1.747 	2.779 	2.0951 	20.7 	16, 7
Q 2359-0216 	2.31 	1.747 	2.779 	2.1537 	20.3 	16, 7
